symbol,bos1_date,1_new_26w_high,2_freshly_broken,3_ema20_gt_ema50,4_ema50_rising,5_rsi_gt_60,6_rsi_rising,7_macd_hist_pos,8_vol_gt_sma10,9_green_candle,outcome,is_win,ret_5d,ret_10d,ret_20d
RELIANCE.NS,2022-04-21,True,True,True,True,True,True,True,True,True,INVALIDATED,False,1.14,-8.72,-10.25
RELIANCE.NS,2023-07-03,True,True,True,True,True,True,True,True,True,TIMEOUT,False,5.32,7.45,3.73
RELIANCE.NS,2024-01-10,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,2.89,8.92,9.24
RELIANCE.NS,2024-01-29,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-2.2,0.35,1.76
RELIANCE.NS,2024-02-23,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,0.93,-1.21,-0.05
RELIANCE.NS,2024-06-27,True,True,True,True,True,True,False,True,True,INVALIDATED,False,3.76,4.29,-0.71
RELIANCE.NS,2025-04-28,True,True,False,True,True,True,True,True,True,BOS2_CONFIRMED,True,2.55,3.89,3.06
RELIANCE.NS,2025-05-15,True,True,False,True,True,True,True,False,True,BOS2_CONFIRMED,True,-1.82,-2.22,-1.74
RELIANCE.NS,2025-06-26,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,1.86,-0.28,-7.18
RELIANCE.NS,2025-11-26,True,True,True,True,True,True,True,True,True,INVALIDATED,False,-2.5,-1.9,-1.0
RELIANCE.NS,2026-01-02,True,True,True,True,True,True,True,False,True,INVALIDATED,False,-6.89,-10.66,-10.66
TCS.NS,2023-02-03,True,True,False,True,True,True,True,True,True,INVALIDATED,False,0.27,0.41,-2.92
TCS.NS,2023-09-12,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,0.4,-0.96,-0.01
TCS.NS,2023-12-15,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-1.62,-1.94,0.08
TCS.NS,2024-01-19,True,True,True,True,True,True,True,True,False,BOS2_CONFIRMED,True,-2.16,4.7,2.35
TCS.NS,2024-02-02,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,3.46,3.03,2.45
TCS.NS,2024-03-12,True,True,True,True,True,True,True,True,True,INVALIDATED,False,-5.57,-7.82,-6.27
TCS.NS,2024-07-18,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,1.63,-0.8,4.0
TCS.NS,2024-08-19,True,True,True,True,True,True,True,False,True,INVALIDATED,False,-0.17,0.16,0.01
HDFCBANK.NS,2022-11-11,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-0.91,-0.73,1.97
HDFCBANK.NS,2024-11-27,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,2.57,2.21,-1.14
HDFCBANK.NS,2025-04-17,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,-0.2,0.4,-0.47
HDFCBANK.NS,2025-06-26,True,True,True,True,True,True,True,True,True,TIMEOUT,False,-1.18,-1.46,-0.42
ICICIBANK.NS,2022-08-03,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,6.12,3.43,7.24
ICICIBANK.NS,2022-09-08,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,-0.12,-3.07,-3.12
ICICIBANK.NS,2023-07-17,True,True,True,True,True,True,True,True,True,TIMEOUT,False,1.71,1.69,-2.2
ICICIBANK.NS,2023-12-05,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-0.01,-0.72,-2.65
ICICIBANK.NS,2024-02-22,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,1.58,0.81,1.28
ICICIBANK.NS,2024-04-29,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-3.19,-3.07,-3.99
ICICIBANK.NS,2024-06-25,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-0.03,3.43,-0.34
ICICIBANK.NS,2024-09-16,True,True,True,True,True,True,True,True,True,TIMEOUT,False,4.65,1.15,-1.33
ICICIBANK.NS,2025-04-17,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,-0.5,-0.31,0.15
ICICIBANK.NS,2025-05-15,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,-0.24,-0.52,-2.56
ICICIBANK.NS,2025-07-22,True,True,True,True,True,True,False,True,True,INVALIDATED,False,-0.03,-2.65,-2.49
ICICIBANK.NS,2026-07-17,True,True,True,True,True,True,True,False,True,STILL_OPEN,,0.08,1.07,
INFY.NS,2022-11-25,True,True,False,True,True,True,True,False,True,INVALIDATED,False,0.72,-4.96,-7.71
INFY.NS,2023-09-12,True,True,False,True,True,True,True,False,True,BOS2_CONFIRMED,True,-0.22,-4.36,-4.91
INFY.NS,2023-12-15,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-1.53,-2.14,4.06
INFY.NS,2024-01-12,True,True,True,True,True,True,True,True,True,INVALIDATED,False,-0.17,0.97,1.29
INFY.NS,2024-07-18,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,1.89,-1.24,1.13
INFY.NS,2024-08-28,True,True,True,True,True,True,True,False,True,TIMEOUT,False,0.01,0.9,-1.69
INFY.NS,2024-12-13,True,True,True,True,True,True,False,True,True,INVALIDATED,False,-3.57,-5.79,-2.78
INFY.NS,2025-12-22,True,True,False,True,True,True,True,False,False,INVALIDATED,False,-3.79,-2.38,-1.47
SBIN.NS,2022-09-09,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,3.13,-2.09,-4.96
SBIN.NS,2022-11-04,True,True,True,True,True,True,True,True,True,INVALIDATED,False,-1.98,-2.27,-0.66
SBIN.NS,2023-07-20,True,True,True,True,True,True,True,True,True,TIMEOUT,False,0.99,-6.02,-6.28
SBIN.NS,2023-12-14,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,1.39,2.13,1.93
SBIN.NS,2024-02-07,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,11.95,12.57,15.82
SBIN.NS,2024-03-05,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,-5.44,-5.02,-1.96
SBIN.NS,2024-04-25,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-0.99,-0.87,1.87
SBIN.NS,2025-09-17,True,True,True,True,True,True,True,True,True,,,0.29,1.01,3.55
SBIN.NS,2025-10-10,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,3.24,5.83,8.89
SBIN.NS,2025-11-17,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,0.82,-0.85,-1.48
SBIN.NS,2026-01-13,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,-0.13,3.51,15.77
SBIN.NS,2026-01-28,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,0.99,12.17,13.78
SBIN.NS,2026-02-09,True,True,True,True,True,True,True,True,True,INVALIDATED,False,5.42,6.28,-5.2
BAJFINANCE.NS,2023-05-26,True,True,False,True,True,True,True,False,True,BOS2_CONFIRMED,True,1.48,2.27,0.84
BAJFINANCE.NS,2023-06-13,True,True,True,True,True,True,True,False,True,BOS2_CONFIRMED,True,0.34,-1.28,4.07
BAJFINANCE.NS,2023-07-04,True,True,True,True,True,True,True,True,True,BOS2_CONFIRMED,True,-5.69,-3.75,-8.59
BAJFINANCE.NS,2023-10-06,True,True,True,True,True,True,True,True,True,INVALIDATED,False,-0.82,-3.74,-7.49
BAJFINANCE.NS,2024-09-13,True,True,True,True,True,True,True,True,True,INVALIDATED,False,-1.11,0.3,-8.63
