symbol,stage,quality_score,quality_grade,last_close,last_date,P0_base_level,BOS1_date,BOS1_price,P1_resistance,Retest_date,Retest_price,Reaccum_bars,Reversal_date,Reversal_price,num_reversals,volatility_contracted,atr_contraction_ratio,distance_to_p1_pct,BOS2_date,BOS2_price,bars_since_bos2,confluence_score,bos1_weekly_confluence,nse_volume_gainer,volume_gainer_source,volume_surge_multiple,today_volume,avg_volume_20d,volume_vs_avg_multiple,entry_date,entry_price_ref,stop_loss,risk_pct,target_price,target_pct,reward_risk,exit_by_min_date,exit_by_max_date,notes
FOSECOIND,FRESH_BOS2,92.0,A - High-Quality Setup,7218.0,2026-09-17,5900.0,2026-08-26,6077.5,6580.0,2026-08-31,6250.0,11,2026-09-16,6846.5,1,False,1.04,0.0,2026-09-16,6846.5,1.0,9/9,3/3,True,nse,1.02,52283.0,28803.0,1.82,2026-09-18,7218.0,6250.0,13.41,8186.0,13.41,1.0,2026-09-24,2026-09-29,Continuation breakout confirmed
TEXINFRA,FRESH_BOS2,72.4,B - Good Setup,116.56,2026-09-17,106.4,2026-06-22,109.45,116.43,2026-06-23,107.01,54,2026-08-24,111.27,3,False,0.83,0.0,2026-09-08,120.03,5.0,8/9,2/3,False,,,11153.0,207584.0,0.05,2026-09-18,116.56,107.01,8.19,126.11,8.19,1.0,2026-09-24,2026-09-29,Continuation breakout confirmed
MANINDS,FRESH_BOS2,68.7,B - Good Setup,817.15,2026-09-17,638.7,2026-08-18,645.15,699.0,2026-08-21,681.3,13,,,0,False,1.37,0.0,2026-09-10,876.45,4.0,5/9,3/3,False,,,209747.0,1456642.0,0.14,2026-09-18,817.15,681.3,16.62,953.0,16.62,1.0,2026-09-24,2026-09-29,Continuation breakout confirmed
GMMPFAUDLR,FRESH_BOS2,68.4,B - Good Setup,1349.4,2026-09-17,1079.4,2026-09-01,1083.8,1109.0,2026-09-02,1050.1,7,,,0,False,1.22,0.0,2026-09-15,1348.0,1.0,8/9,2/3,False,,,49747.0,342999.0,0.15,2026-09-18,1349.4,1050.1,22.18,1648.7,22.18,1.0,2026-09-24,2026-09-29,Continuation breakout confirmed
CRAFTSMAN,FRESH_BOS2,55.0,C - Moderate / Watch,11102.0,2026-09-17,10960.0,2026-08-28,11118.0,11500.0,2026-09-01,11000.0,6,,,0,False,1.13,0.0,2026-09-10,11851.0,3.0,4/9,2/3,False,,,2841.0,53425.0,0.05,2026-09-18,11102.0,11000.0,0.92,11204.0,0.92,1.0,2026-09-24,2026-09-29,Continuation breakout confirmed
INOXINDIA,FRESH_BOS2,55.0,C - Moderate / Watch,2036.9,2026-09-17,2119.8,2026-08-27,2177.9,2267.9,2026-08-31,2082.0,8,,,0,False,1.09,0.0,2026-09-10,2295.8,3.0,3/9,3/3,False,,,63932.0,509270.0,0.13,,,,,,,,,,Continuation breakout confirmed
AGI,FRESH_BOS2,51.7,C - Moderate / Watch,725.5,2026-09-17,748.0,2026-08-21,753.6,772.0,2026-08-25,725.3,9,,,0,False,1.17,0.0,2026-09-08,783.8,5.0,3/9,2/3,False,,,6056.0,206216.0,0.03,2026-09-18,725.5,725.3,0.03,725.7,0.03,1.0,2026-09-24,2026-09-29,Continuation breakout confirmed
YATHARTH,FRESH_REVERSAL,87.7,A - High-Quality Setup,1011.0,2026-09-17,919.5,2026-08-25,923.05,1024.85,2026-08-31,960.3,10,2026-09-17,1011.0,1,False,1.13,1.35,,,,8/9,3/3,False,,,99185.0,446277.0,0.22,2026-09-18,1011.0,960.3,5.01,1061.7,5.01,1.0,2026-09-24,2026-09-29,"Higher-low reversal confirmed 0d ago at 1011.00 (green close above the last confirmed swing-low candle's high). Tactical early entry, 1.4% below P1=1024.85."
ACE,FRESH_REVERSAL,80.3,A - High-Quality Setup,1159.0,2026-09-17,1149.0,2026-08-18,1184.8,1196.0,2026-08-21,1145.1,18,2026-09-16,1149.7,2,False,0.97,3.09,,,,7/9,3/3,False,,,26356.0,268695.0,0.1,2026-09-18,1149.7,1145.1,0.4,1154.3,0.4,1.0,2026-09-24,2026-09-29,"Higher-low reversal confirmed 1d ago at 1149.70 (green close above the last confirmed swing-low candle's high). Tactical early entry, 3.1% below P1=1196.00."
TASTYBITE,FRESH_REVERSAL,77.7,B - Good Setup,10005.0,2026-09-17,9614.5,2026-08-14,10005.0,10470.0,2026-08-17,9600.0,20,2026-09-10,10201.0,1,False,0.93,4.44,,,,5/9,3/3,False,,,237.0,4830.0,0.05,2026-09-18,10201.0,9600.0,5.89,10802.0,5.89,1.0,2026-09-24,2026-09-29,"Higher-low reversal confirmed 3d ago at 10201.00 (green close above the last confirmed swing-low candle's high). Tactical early entry, 4.4% below P1=10470.00."
SUPRAJIT,FRESH_REVERSAL,74.3,B - Good Setup,492.55,2026-09-17,514.5,2026-08-05,524.1,541.0,2026-08-10,516.85,26,2026-09-10,500.3,1,False,0.98,8.96,,,,4/9,3/3,False,,,5687.0,70458.0,0.08,,,,,,,,,,"Higher-low reversal confirmed 3d ago at 500.30 (green close above the last confirmed swing-low candle's high). Tactical early entry, 9.0% below P1=541.00."
QUESS,FRESH_REVERSAL,74.3,B - Good Setup,352.05,2026-09-17,350.75,2026-08-26,370.7,376.5,2026-08-27,355.0,13,2026-09-09,355.0,1,False,1.13,6.49,,,,4/9,3/3,False,,,71334.0,821348.0,0.09,,,,,,,,,,"Higher-low reversal confirmed 4d ago at 355.00 (green close above the last confirmed swing-low candle's high). Tactical early entry, 6.5% below P1=376.50."
PARADEEP,FRESH_REVERSAL,71.0,B - Good Setup,148.25,2026-09-17,159.5,2026-08-25,159.63,165.79,2026-08-27,159.61,12,2026-09-08,159.79,1,False,1.03,10.58,,,,3/9,3/3,False,,,147750.0,6278594.0,0.02,2026-09-18,159.79,159.61,0.11,159.97,0.11,1.0,2026-09-24,2026-09-29,"Higher-low reversal confirmed 5d ago at 159.79 (green close above the last confirmed swing-low candle's high). Tactical early entry, 10.6% below P1=165.79."
GALAXYSURF,FRESH_REVERSAL,71.0,B - Good Setup,2223.1,2026-09-17,2114.0,2026-08-14,2508.4,2648.0,2026-08-26,2275.3,13,2026-09-09,2288.9,1,False,0.97,16.05,,,,4/9,2/3,False,,,2101.0,45054.0,0.05,2026-09-18,2288.9,2275.3,0.59,2302.5,0.59,1.0,2026-09-24,2026-09-29,"Higher-low reversal confirmed 4d ago at 2288.90 (green close above the last confirmed swing-low candle's high). Tactical early entry, 16.0% below P1=2648.00."
IPCALAB,FRESH_REVERSAL,70.7,B - Good Setup,1983.1,2026-09-17,1945.1,2026-08-26,1952.4,2001.5,2026-09-03,1907.9,9,2026-09-17,1983.1,1,False,0.86,0.92,,,,6/9,2/3,False,,,21328.0,208278.0,0.1,2026-09-18,1983.1,1907.9,3.79,2058.3,3.79,1.0,2026-09-24,2026-09-29,"Higher-low reversal confirmed 0d ago at 1983.10 (green close above the last confirmed swing-low candle's high). Tactical early entry, 0.9% below P1=2001.50."
UJJIVANSFB,FRESH_REVERSAL,70.3,B - Good Setup,65.52,2026-09-17,68.0,2026-07-23,68.78,73.29,2026-07-29,68.9,33,2026-09-10,66.52,2,False,0.87,10.6,,,,4/9,3/3,False,,,791633.0,14207690.0,0.06,,,,,,,,,,"Higher-low reversal confirmed 3d ago at 66.52 (green close above the last confirmed swing-low candle's high). Tactical early entry, 10.6% below P1=73.29."
HONASA,FRESH_REVERSAL,67.7,B - Good Setup,462.15,2026-09-17,491.35,2026-08-14,502.8,509.8,2026-08-18,470.05,20,2026-09-08,476.05,1,False,1.0,9.35,,,,2/9,3/3,False,,,79350.0,782552.0,0.1,2026-09-18,476.05,470.05,1.26,482.05,1.26,1.0,2026-09-24,2026-09-29,"Higher-low reversal confirmed 5d ago at 476.05 (green close above the last confirmed swing-low candle's high). Tactical early entry, 9.3% below P1=509.80."
